,Country,Total Cases,New Cases,Total Death,New Deaths,Total Recovered,other,Active Cases,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
95,Uzbekistan,"88,679",+399,642,+1,"85,536",+304,"2,501",23,"2,619",19,"1,377,915","40,694","33,860,744"
96,Finland,"85,607",+263,903,,"46,000",,"38,704",31,"15,431",163,"4,380,100","789,534","5,547,700"
97,Mozambique,"69,643",+46,807,+1,"62,452",+44,"6,384",43,"2,179",25,"511,476","16,004","31,958,431"
98,El Salvador,"68,318",,"2,098",+5,"64,340",,"1,880",74,"10,490",322,"899,943","138,182","6,512,714"
99,Luxembourg,"66,007",,790,,"62,183",,"3,034",30,"104,080","1,246","2,606,391","4,109,776","634,193"
100,Cameroon,"65,998",,991,,"57,821",,"7,186",385,"2,437",37,"1,257,949","46,458","27,077,031"
101,Singapore,"60,966",+23,30,,"60,629",+16,307,1,"10,355",5,"9,278,789","1,575,995","5,887,574"
102,Cyprus,"60,681",,297,,"39,061",,"21,323",70,"49,965",245,"4,564,235","3,758,202","1,214,473"
103,Afghanistan,"58,733",,"2,572",,"52,363",,"3,798","1,124","1,482",65,"392,081","9,893","39,633,764"
104,Thailand,"53,022","+2,839",129,+8,"30,566",+377,"22,327",1,758,2,"8,124,896","116,166","69,941,967"
105,Namibia,"47,671",+288,624,+2,"45,334",+56,"1,713",36,"18,491",242,"380,088","147,435","2,577,996"
106,Botswana,"45,855",,691,,"41,338",,"3,826",1,"19,187",289,"982,095","410,941","2,389,868"
107,Ivory Coast,"45,820",+55,281,+2,"45,343",+32,196,,"1,703",10,"573,182","21,305","26,903,373"
108,Jamaica,"44,867",+225,756,+4,"20,391",+116,"23,720",26,"15,098",254,"323,381","108,822","2,971,638"
109,Uganda,"41,575",,341,,"40,898",,336,24,886,7,"1,001,301","21,350","46,898,986"
110,Senegal,"40,082",+60,"1,099",+2,"38,815",+29,168,9,"2,344",64,"472,132","27,613","17,098,401"
111,Zimbabwe,"38,064",+19,"1,556",,"35,101",+7,"1,407",12,"2,531",103,"404,405","26,893","15,037,568"
112,Madagascar,"35,262",+487,593,+5,"28,132",+486,"6,537",406,"1,248",21,"175,418","6,207","28,263,063"
113,Malawi,"34,011",+14,"1,147",+1,"31,899",+23,965,15,"1,742",59,"230,117","11,784","19,527,156"
114,Sudan,"32,695",,"2,300",,"26,411",,"3,984",,732,51,"232,965","5,215","44,672,760"
